,0
1846,0
1847,9164
1848,9748
1849,0
1850,0
1851,0
1852,9435
1853,9944
1854,9556
1855,0
1856,0
1857,9660
1858,0
1859,9734
1860,9685
1861,0
1862,0
1863,0
1864,9510
1865,0
1866,0
1867,0
1868,9693
1869,9997
1870,9347
1871,0
1872,0
1873,0
1874,9229
1875,9520
1876,0
1877,9973
1878,9524
1879,0
1880,9395
1881,0
1882,9716
1883,9951
1884,10000
1885,0
1886,0
1887,0
1888,9996
1889,9977
1890,0
1891,8986
1892,9786
1893,0
1894,0
1895,0
1896,9940
1897,0
1898,0
1899,9849
1900,9951
1901,9988
1902,9769
1903,9816
1904,8860
1905,0
1906,0
1907,0
1908,9755
1909,0
1910,8639
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,9999
1918,9143
1919,10000
1920,0
1921,0
1922,0
1923,0
1924,10000
1925,0
1926,0
1927,0
1928,9983
1929,0
1930,10000
1931,0
1932,9997
1933,0
1934,9916
1935,0
1936,9956
1937,9792
1938,9987
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,9999
1948,9962
1949,0
1950,9979
1951,0
1952,0
1953,9917
1954,0
1955,9988
1956,9912
1957,0
1958,9502
1959,9485
1960,9891
1961,9996
1962,10000
1963,9696
1964,0
1965,0
1966,9943
1967,9427
1968,0
1969,9907
1970,0
1971,9997
1972,9998
1973,9999
1974,0
1975,9130
1976,0
1977,0
1978,9198
1979,8903
1980,0
1981,9993
1982,0
1983,0
1984,9851
1985,10000
1986,9668
1987,9807
1988,9686
1989,0
1990,9986
1991,9944
1992,0
1993,0
1994,9967
1995,0
1996,9990
1997,9789
1998,0
1999,0
2000,9990
2001,0
2002,0
2003,9136
2004,9998
2005,0
2006,0
2007,0
2008,9357
2009,0
2010,9722
2011,9983
2012,0
2013,9995
2014,0
2015,0
2016,8842
2017,10000
2018,9995
2019,9442
2020,9555
2021,9657
2022,9983
2023,0
2024,10000
2025,10000
2026,10000
2027,9999
2028,0
2029,10000
2030,0
2031,0
2032,0
2033,0
2034,0
2035,9970
2036,9975
2037,0
2038,9597
2039,0
2040,9641
2041,0
2042,0
2043,9948
2044,9623
2045,10000
2046,8008
2047,0
