,0
1964,10000
1965,10000
1966,57
1967,573
1968,10000
1969,93
1970,10000
1971,3
1972,2
1973,1
1974,10000
1975,870
1976,10000
1977,10000
1978,802
1979,1097
1980,10000
1981,7
1982,10000
1983,10000
1984,149
1985,0
1986,332
1987,193
1988,314
1989,10000
1990,14
1991,56
1992,10000
1993,10000
1994,33
1995,10000
1996,10
1997,211
1998,10000
1999,10000
2000,10
2001,10000
2002,10000
2003,864
2004,2
2005,10000
2006,10000
2007,10000
2008,643
2009,10000
2010,278
2011,17
2012,10000
2013,5
2014,10000
2015,10000
2016,1158
2017,0
2018,5
2019,558
2020,445
2021,343
2022,17
2023,10000
2024,0
2025,0
2026,0
2027,1
2028,10000
2029,0
2030,10000
2031,10000
2032,10000
2033,10000
2034,10000
2035,30
2036,25
2037,10000
2038,403
2039,10000
2040,359
2041,10000
2042,10000
2043,52
2044,377
2045,0
2046,1992
2047,10000
