timestamp,executed,status,duration,mem_mean,mem_median,mem_peak,return_code,output,tool,benchmark,dataset,model,phase
1712863866,True,success,3.22,521511424.0,601919488.0,746352640,0,/experiments/comparison/prophecy/1/PD1/ruleset.csv,prophecy,trustbench,PD,PD1,analyze
1712863869,True,success,3.42,526856432.9411765,605880320.0,749539328,0,/experiments/comparison/prophecy/1/PD4/ruleset.csv,prophecy,trustbench,PD,PD4,analyze
1712863872,True,success,3.22,522599680.0,603516928.0,747741184,0,/experiments/comparison/prophecy/1/PD3/ruleset.csv,prophecy,trustbench,PD,PD3,analyze
1712863876,True,success,118.42,3744157779.591837,3906850816.0,4379942912,0,/experiments/comparison/prophecy/1/CIFAR10/ruleset.csv,prophecy,trustbench,CIFAR10,CIFAR10,analyze
1712863996,True,success,3.83,479599993.2631579,563740672.0,713838592,0,/experiments/comparison/prophecy/1/BM7/predictions/results_clf.csv,prophecy,trustbench,BM,BM7,infer
1712863999,True,success,3.63,474235335.1111111,562173952.0,715968512,0,/experiments/comparison/prophecy/1/BM2/predictions/results_clf.csv,prophecy,trustbench,BM,BM2,infer
1712864003,True,success,3.42,534140807.5294118,616841216.0,738742272,0,/experiments/comparison/prophecy/1/BM11/predictions/results_clf.csv,prophecy,trustbench,BM,BM11,infer
1712864007,True,success,3.22,513415680.0,594485248.0,730546176,0,/experiments/comparison/prophecy/1/BM3/predictions/results_clf.csv,prophecy,trustbench,BM,BM3,infer
1712864010,True,success,3.42,487921543.5294118,587796480.0,736559104,0,/experiments/comparison/prophecy/1/BM5/predictions/results_clf.csv,prophecy,trustbench,BM,BM5,infer
1712864013,True,success,3.42,523900566.5882353,605532160.0,728649728,0,/experiments/comparison/prophecy/1/BM12/predictions/results_clf.csv,prophecy,trustbench,BM,BM12,infer
1712864017,True,success,3.62,546494691.5555556,628195328.0,742727680,0,/experiments/comparison/prophecy/1/BM8/predictions/results_clf.csv,prophecy,trustbench,BM,BM8,infer
1712864020,True,success,3.42,475307791.0588235,572596224.0,721760256,0,/experiments/comparison/prophecy/1/BM9/predictions/results_clf.csv,prophecy,trustbench,BM,BM9,infer
1712864024,True,success,3.63,498988600.8888889,595970048.0,737300480,0,/experiments/comparison/prophecy/1/BM4/predictions/results_clf.csv,prophecy,trustbench,BM,BM4,infer
1712864027,True,success,3.42,532261707.2941176,614105088.0,737505280,0,/experiments/comparison/prophecy/1/BM1/predictions/results_clf.csv,prophecy,trustbench,BM,BM1,infer
1712864031,True,success,3.42,530163832.4705882,615882752.0,738250752,0,/experiments/comparison/prophecy/1/BM6/predictions/results_clf.csv,prophecy,trustbench,BM,BM6,infer
1712864034,True,success,3.42,516409946.3529412,597008384.0,720887808,0,/experiments/comparison/prophecy/1/BM10/predictions/results_clf.csv,prophecy,trustbench,BM,BM10,infer
1712864038,True,success,3.02,500978483.2,583413760.0,730021888,0,/experiments/comparison/prophecy/1/GC3/predictions/results_clf.csv,prophecy,trustbench,GC,GC3,infer
1712864041,True,success,3.22,513882624.0,598968320.0,734085120,0,/experiments/comparison/prophecy/1/GC5/predictions/results_clf.csv,prophecy,trustbench,GC,GC5,infer
1712864044,True,success,3.02,503481139.2,588062720.0,733753344,0,/experiments/comparison/prophecy/1/GC6/predictions/results_clf.csv,prophecy,trustbench,GC,GC6,infer
1712864047,True,success,3.02,505318604.8,590114816.0,734298112,0,/experiments/comparison/prophecy/1/GC4/predictions/results_clf.csv,prophecy,trustbench,GC,GC4,infer
